Mbabane;-26.33;31.14;19.15
Mexico;39.17;-91.88;5.86
Minsk;53.9;27.56;0
Mogadishu;2.04;45.34;30
Monaco;43.73;7.42;11.85
Monrovia;6.33;-10.8;30
Montevideo;44.94;-95.72;-9.82
Moroni;35.09;24.92;16.09
Moscow;55.75;37.62;2.18
Muscat;23.6;58.55;27
Nairobi;-1.28;36.82;20.92
Nassau;46.81;15.34;-0.04
Naypyidaw;19.75;96.13;20.31
N'Djamena;19.75;96.13;20.31
Delhi;28.65;77.22;20.02
Niamey;13.52;2.11;31
Nouakchott;18.08;-15.98;20
Nouméa;-22.27;166.47;25
Nuuk;64.17;-51.74;-9.21
Oranjestad;12.52;-70.03;28
Oslo;59.91;10.74;1.64
Ottawa;45.42;-75.69;-5.54
Ouagadougou;12.37;-1.53;29.51
Panama;8.97;-79.53;24.87
Papeete;-17.53;-149.57;25.76
Paramaribo;5.82;-55.18;23.89
Paris;48.86;2.35;3.01
Philipsburg;46.33;-113.29;1
Plymouth;50.37;-4.14;11.64
Podgorica;42.44;19.26;12.7
Port-au-Prince;18.55;-72.34;24
Porto-Novo;6.5;2.63;29
Prague;50.09;14.42;1.18
Praia;-20.25;-43.81;20.65
Pretoria;-25.75;28.19;17.33
Pyongyang;39.02;125.75;-4.93
Quito;-0.22;-78.51;9.7
Rabat;34.02;-6.83;16.65
Ramallah;31.9;35.2;19.9
Reykjavík;64.15;-21.94;-0.48
Riga;56.95;24.11;1.92
Riyadh;24.63;46.72;25
Rome;41.89;12.48;13.66
Roseau;48.85;-95.76;-14
Saipan;15.21;145.75;26.54
Sana'a;15.21;145.75;26.54
Santiago;16.69;121.54;21.84
Sarajevo;43.85;18.39;-2
Seoul;37.57;126.98;-4.8
Singapore;1.29;103.85;28.18
Skopje;42;21.43;5.07
Sofia;42.7;23.32;-4
Stanley;54.87;-1.69;11.18
Stepanakert;39.82;46.75;6.01
Stockholm;59.33;18.07;6.31
Sucre;-19.05;-65.26;10.61
Suva;-18.14;178.44;25
Taipei;25.04;121.56;15.01
Tallinn;59.44;24.75;5
Tarawa;11.59;3.97;34.44
Tashkent;41.31;69.28;7
Tbilisi;41.69;44.8;7
Tegucigalpa;14.09;-87.2;13.93
Tehran;35.7;51.4;10.53
Thimphu;27.47;89.64;-1.74
Tirana;41.33;19.82;15
Tiraspol;46.85;29.64;8.42
Tokyo;35.68;139.76;8.09
Tripoli;37.51;22.37;17.2
Tskhinvali;42.23;43.97;3.83
Tunis;36.8;10.18;16.36
Ulaanbaatar;47.92;106.92;-21
Vaduz;47.14;9.52;3.43
Valletta;35.9;14.51;19.42
Vatican;8.99;38.74;21.32
Victoria;5.28;115.24;25.52
Vienna;48.21;16.37;1.12
Vientiane;17.96;102.61;22.96
Vilnius;54.69;25.28;0.87
Warsaw;52.23;21.01;3.22
Washington;38.9;-77.04;-0.63
Wellington;-41.29;174.78;16.07
Willemstad;6.33;-57.57;27.22
Windhoek;-22.57;17.08;17
Yamoussoukro;6.81;-5.27;32.98
Yaren;39.55;27.62;12.26
Yerevan;40.18;44.51;5
